500
24.268795104s 388.985109ms
24.599928514s 389.82292ms
24.03838037s 387.687321ms
24.607226102s 383.633432ms
24.180492624s 388.900065ms
24.126057531s 387.268327ms
24.086083302s 385.227183ms
24.863526266s 403.438833ms
24.513670371s 426.842659ms

14500
25.139579331s 421.638908ms
25.621209164s 424.383102ms
25.238200652s 402.591989ms
25.140750953s 402.622908ms
24.882451121s 420.417595ms
24.828734624s 408.493013ms
25.540015861s 416.013695ms
25.431622651s 406.619017ms
25.853024019s 401.409421ms
25.213189448s 397.609462ms
26.597858715s 407.01956ms

15000
26.551451742s 404.689027ms
26.937795708s 388.480372ms
26.379930506s 383.066126ms
26.099377491s 375.389344ms
25.468707377s 378.748336ms
25.449918631s 376.837928ms
25.421636552s 375.229729ms
25.576038208s 379.015274ms
27.144931089s 414.508487ms
26.758760229s 387.949526ms
26.621078813s 386.553872ms

15500
27.276304102s 437.929366ms
27.527058355s 400.990765ms
27.948209044s 402.420494ms
27.492600603s 412.457813ms
26.98835341s 402.507196ms
27.332620082s 459.725149ms
27.870558975s 409.289174ms
26.76452447s 400.293027ms
27.874644578s 441.617961ms
27.65667879s 404.071603ms
27.952819691s 410.338033ms

16000
28.934125833s 389.982194ms
28.461323927s 381.992402ms
27.500888122s 373.830767ms
28.201329218s 375.392701ms
28.232186271s 385.801104ms
28.543026557s 387.620855ms
28.192490539s 394.711286ms
27.378318955s 372.296374ms
27.107383121s 372.976516ms
27.205873079s 372.829765ms
27.100273293s 372.750245ms

16500
27.959675395s 385.575942ms
27.98990299s 386.942915ms
27.886000941s 388.362965ms
27.895865871s 386.620217ms
27.915747189s 386.931892ms
27.972044012s 386.527991ms
27.955800807s 392.001623ms
28.379426603s 389.50823ms
28.159365399s 395.084467ms
28.121752092s 387.409665ms
28.358504149s 390.917911ms

17000
29.397196241s 387.426592ms
29.335511213s 381.040198ms
29.210971421s 397.926724ms
29.15625406s 380.94223ms
29.25237884s 382.571467ms
28.973300664s 377.181996ms
29.574753383s 382.453175ms
29.402869816s 382.346853ms
29.144604498s 385.754577ms
28.944628801s 377.024802ms
28.826345705s 404.834785ms

17500
29.692484567s 385.712509ms
29.757497632s 388.412247ms
29.656086126s 385.514816ms
29.69625014s 387.356933ms
29.666768447s 386.942522ms
29.744852496s 386.048175ms
29.741118587s 384.845904ms
29.778087233s 404.700842ms
29.68510358s 390.785355ms
29.75570352s 384.255794ms
29.709449733s 387.513825ms

18000
30.524459043s 387.098598ms
30.559509925s 389.944223ms
31.599380059s 419.135356ms
32.070517324s 402.157358ms
